PID,Neighborhood,Year Built,Overall Qual,Kitchen Qual,Exter Qual,Lot Area,SalePrice
526301100,NAmes,1960,6,TA,TA,31770,215000
526350040,NAmes,1961,5,TA,TA,11622,105000
526351010,NAmes,1958,6,Gd,TA,14267,172000
526353030,NAmes,1968,7,Ex,Gd,11160,244000
527105010,Gilbert,1997,5,TA,TA,13830,189900
527105030,Gilbert,1998,6,Gd,TA,9978,195500
527127150,StoneBr,2001,8,Gd,Gd,4920,213500
527145080,StoneBr,1992,8,Gd,Gd,5005,191500
527146030,StoneBr,1995,8,Gd,Gd,5389,236500
527162130,Gilbert,1999,7,Gd,TA,7500,189000
527163010,Gilbert,1993,6,TA,TA,10000,175900
527165230,Gilbert,1992,6,TA,TA,7980,185000
527166040,Gilbert,1998,6,TA,TA,8402,180400
527180040,Gilbert,1990,7,Gd,TA,10176,171500
527182190,StoneBr,1985,8,Gd,Gd,6820,212000
527216070,StoneBr,2003,8,Ex,Ex,53504,538000
527225035,Gilbert,1988,8,TA,Gd,12134,164000
527258010,StoneBr,2010,9,Ex,Gd,11394,394432
527276150,Gilbert,1951,4,TA,TA,19138,141000
527302110,NWAmes,1978,6,TA,TA,13175,210000
527358140,NWAmes,1977,6,TA,TA,11751,190000
527358200,NWAmes,1974,7,Gd,TA,10625,170000
527368020,Somerst,2000,7,Gd,Gd,7500,216000
527402200,NAmes,1970,6,TA,TA,11241,149000
527402250,NAmes,1971,5,TA,TA,12537,149900
527403020,NAmes,1968,5,TA,TA,8450,142000
527404120,NAmes,1970,4,TA,TA,8400,126000
527425090,NAmes,1971,4,TA,TA,10500,115000
527427230,NAmes,1999,7,Gd,Gd,5858,184000
527451180,BrDale,1971,6,TA,TA,1680,96000
527451330,BrDale,1971,5,TA,TA,1680,105500
527451410,BrDale,1971,6,TA,TA,1680,88000
527452190,NPkVill,1977,6,TA,TA,4043,127500
527453130,NPkVill,1975,6,Gd,TA,2280,149900
527453150,NPkVill,1975,7,TA,TA,2280,120000
527454200,NPkVill,1978,6,TA,TA,2280,146000
528108120,NridgHt,2009,9,Ex,Ex,12858,376162
528112020,NridgHt,2007,8,Gd,Gd,11478,306000
528120060,NridgHt,2009,9,Ex,Ex,10159,395192
528120090,NridgHt,2009,8,Gd,Gd,12883,290941
528120100,NridgHt,2005,7,Gd,Gd,12182,220000
528120120,NridgHt,2005,9,Ex,Gd,11520,275000
528138020,NridgHt,2005,8,Ex,Gd,14122,259000
528138060,NridgHt,2004,7,Gd,Gd,10171,214000
528150070,NridgHt,2009,9,Ex,Ex,12919,611657
528175010,NridgHt,2009,7,Gd,Gd,6371,224000
528176010,NridgHt,2003,9,Ex,Ex,14300,500000
528176070,NridgHt,2002,8,Gd,Gd,13650,320000
528180070,NridgHt,2005,9,Ex,Ex,7658,319900
528181050,NridgHt,2006,8,Gd,Gd,7132,205000
528188120,NridgHt,2003,7,Gd,Gd,2628,175500
528218150,Gilbert,2005,6,Gd,Gd,18494,199500
528228285,Blmngtn,2006,7,Gd,Gd,3203,160000
528228440,Blmngtn,2004,8,Gd,Gd,3182,192000
528231020,Gilbert,2004,7,Gd,Gd,13300,184500
528240070,Gilbert,2002,6,Gd,Gd,7851,216500
528240130,Gilbert,2004,7,Gd,Gd,8577,185088
528250100,Gilbert,2000,7,TA,TA,7750,180000
