Row ID,Projected Annual Salary
206226,$80659.44
236669,$37688.40
232394,$80137.44
190682,$99764.64
218049,$57795.84
232737,$76399.92
184888,$121897.44
207516,$61115.76
229276,$115719.83
249676,$82329.84
252437,$77423.04
200523,$119538.00
262800,$41843.52
206512,$55582.56
239177,$79224.69
260106,$143090.64
176070,$136033.20
262951,$38857.68
249846,$86297.04
238758,$65492.36
269297,$34452.00
197508,$99813.71
208460,$101529.00
275107,$66586.32
278714,$120582.00
258092,$64707.12
235726,$81557.28
196654,$91078.56
211605,$36289.44
207296,$73915.20
258744,$72077.76
229308,$122125.03
224954,$62535.60
266965,$60092.64
264189,$75606.48
175061,$84567.13
189008,$94252.32
254076,$103585.68
236416,$121709.52
181564,$72036.00
253888,$101518.56
200409,$113211.36
230656,$144740.16
254714,$104525.28
283102,$85628.88
282832,$71451.36
265390,$65358.32
255354,$104525.28
275575,$72307.44
217375,$47439.36
269621,$31320.00
251845,$98365.68
178124,$43326.00
236711,$48399.84
240275,$67263.43
242424,$45841.00
270676,$31445.28
273285,$39150.00
185204,$72699.69
252746,$106743.52
250865,$86297.04
266714,$33032.16
219721,$67839.12
181752,$86484.96
174887,$91078.56
243956,$40752.54
202470,$75898.80
254019,$91955.52
275819,$97676.64
203568,$64707.12
187771,$45841.00
200990,$56732.53
284915,$66607.20
242992,$94502.88
283083,$56647.44
207834,$41843.52
256769,$118661.04
180506,$89032.32
188113,$100516.32
256221,$79380.54
228523,$49631.76
203350,$73566.50
281156,$69634.80
246723,$117431.21
268592,$34452.00
257523,$88422.10
193910,$93730.32
219235,$82496.88
239136,$70432.71
219540,$85190.40
197591,$96841.44
254571,$106743.52
277384,$83666.16
261323,$94210.56
258250,$64707.12
221168,$72850.32
245598,$117554.40
213420,$31320.00
175141,$99409.68
278558,$145032.48
196471,$108555.12
246269,$111211.32
262217,$41843.52
215826,$63767.52
274565,$84856.32
232467,$97822.80
206974,$121709.52
214443,$31445.28
257511,$86334.89
185442,$72535.63
210668,$31445.28
183533,$116275.50
217998,$57795.84
229403,$76328.41
252153,$94411.27
263629,$96235.92
245300,$68266.12
210386,$52279.87
250213,$88426.80
245211,$50738.40
182093,$80608.81
270417,$55874.88
196171,$101947.64
202295,$75898.80
259932,$91475.28
241764,$50070.50
181640,$136743.12
241630,$94502.88
231758,$125676.72
273819,$96361.20
275022,$72307.44
232972,$92196.16
188728,$64540.08
267677,$21506.40
247108,$114318.00
265910,$31445.28
262958,$50140.19
227195,$33408.00
239631,$67889.83
181988,$37688.40
237129,$78564.73
245099,$94538.38
257477,$73817.06
225013,$71555.76
175822,$46729.44
211836,$21506.40
244718,$81118.80
277412,$120623.76
211171,$67860.00
250884,$96900.17
192759,$144656.64
215737,$55643.63
235927,$68340.24
275468,$70386.48
242493,$45841.00
220383,$81118.80
224886,$147287.52
240371,$77256.00
202210,$82160.45
243557,$55582.56
187795,$50070.50
200500,$116510.40
262855,$39630.24
252364,$96152.40
216159,$63412.56
260197,$111979.44
278225,$95818.32
258735,$94502.88
181347,$118452.24
243988,$31988.16
282092,$66586.32
179418,$199717.20
277439,$73205.28
263092,$41843.52
207899,$38748.06
273991,$47439.36
181828,$62968.08
273061,$59361.84
211687,$36289.44
226764,$128599.92
258933,$31320.00
236886,$101100.96
269793,$32531.04
255672,$119538.00
228932,$85503.60
220811,$112438.80
184923,$70458.81
212407,$34452.00
182676,$78758.61
261442,$111979.44
210159,$81995.76
234987,$41029.20
210632,$31445.28
191159,$111211.32
215484,$86484.96
219988,$54496.80
229553,$95801.62
207625,$39630.24
215424,$88576.09
199402,$106743.52
279367,$89554.32
191046,$110855.57
279271,$99514.08
197135,$96234.88
209209,$86484.96
242474,$45841.00
279918,$90598.32
280052,$86860.80
269583,$31320.00
228848,$135299.27
253851,$106743.52
256870,$109202.40
198230,$99660.24
191754,$114318.00
256691,$81505.08
230744,$55115.11
203001,$64707.12
217710,$70929.36
277745,$209572.56
232756,$100516.32
186789,$32176.08
239080,$69157.54
270082,$33408.00
251539,$98365.68
212675,$34452.00
183948,$70432.71
235973,$118452.24
188077,$64707.12
222756,$75940.56
254268,$100766.88
254212,$106434.23
255523,$119538.00
270428,$55874.88
182044,$45852.48
276123,$63892.80
232813,$171654.48
254844,$116510.40
195255,$96152.40
255544,$119538.00
174739,$99931.68
278636,$77360.40
250374,$89303.76
211028,$33032.16
201846,$80137.44
223858,$104546.16
219722,$67839.12
178328,$115058.98
177164,$64707.12
219162,$125676.72
223070,$61721.28
262353,$56396.88
273953,$31320.00
181173,$94502.88
243547,$43326.00
269813,$31320.00
199994,$114318.00
220903,$115236.72
235931,$41029.20
176794,$59190.36
267876,$34452.00
239518,$76547.57
223587,$99075.60
185159,$67263.43
236958,$77267.19
255933,$82329.84
233344,$32176.08
174787,$92832.48
218474,$53598.96
262780,$38857.68
272329,$63767.52
253737,$111613.52
179797,$167812.56
210728,$31445.28
178751,$109181.52
253371,$114777.36
239282,$84258.26
216615,$34974.00
226351,$97092.00
259979,$45956.88
248110,$57420.00
263657,$61950.96
263465,$111979.44
228483,$53536.32
225773,$112062.96
247831,$57420.00
185784,$55102.32
178185,$111979.44
236493,$97552.14
273068,$54726.48
266183,$31445.28
230308,$59578.21
253903,$103961.52
224811,$231914.16
260597,$96110.64
192200,$114318.00
275308,$53598.96
255595,$123024.96
198829,$105903.36
279908,$92874.24
237658,$89705.70
261494,$89909.28
202702,$83373.84
281846,$62535.60
259077,$74583.36
193838,$98595.36
196274,$91078.56
178192,$76399.92
193375,$62368.56
256261,$86484.96
258539,$117763.72
178488,$89853.95
235225,$79427.52
176260,$149876.64
191941,$118231.70
203766,$88468.56
245652,$124423.92
266908,$52617.60
203188,$64707.12
242673,$82350.72
255978,$53850.04
188899,$75627.36
216253,$68235.84
216099,$63767.52
266599,$31320.00
264307,$102040.56
202895,$60820.31
248966,$88426.80
188468,$52408.80
282990,$117115.92
257708,$101265.91
246245,$108262.80
263057,$55102.32
196589,$95943.60
282292,$74249.28
256038,$52408.80
191050,$107993.19
218220,$59800.32
275906,$149584.32
236943,$78564.73
228600,$52408.80
255802,$122825.30
230685,$127472.40
262804,$39630.24
267063,$37145.52
241863,$38857.68
263184,$38857.68
175138,$104877.11
183846,$47994.17
192963,$62368.56
257845,$84751.92
279987,$78613.20
210903,$31320.00
178595,$102231.61
206276,$70950.24
183697,$60552.00
191699,$117431.21
209014,$76399.92
274965,$70386.48
281631,$97092.00
206403,$143090.64
273525,$36226.80
279063,$99514.08
275057,$59800.32
227691,$98052.48
205549,$111624.48
250929,$84626.64
206609,$100516.32
231099,$162864.00
280753,$56918.88
195840,$111467.36
232195,$56396.88
285046,$78383.52
243113,$55332.00
202285,$84247.67
180654,$73226.16
243137,$74165.76
219524,$85190.40
258872,$55457.28
237356,$77267.19
274020,$52868.16
236242,$126198.72
269798,$31320.00
239131,$72203.79
178397,$92196.16
192540,$127409.76
247608,$133193.52
249155,$93730.32
