Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,528275339,6777.504697759689,3268706,41.935840337599544,633171,6293414,80.74131007267519,8786,0.11271992440009883,1437,
United States of America,Americas,83414864,25200.663,736542,222.518,226313,997512,301.361,1974,0.596,351
India,South-East Asia,43164544,3127.856,19724,1.429,3712,524641,38.017,116,0.008,5
Brazil,Americas,31019038,14593.114,182223,85.728,41377,666676,313.642,771,0.363,160
France,Europe,28662284,44069.137,121339,186.562,26144,145082,223.068,305,0.469,58
Germany,Europe,26408657,31753.879,183945,221.176,31597,139218,167.396,27,0.032,0
The United Kingdom,Europe,22305897,32857.873,36085,53.155,3538,178749,263.308,259,0.382,7
Russian Federation,Europe,18339776,12567.132,29103,19.943,4262,379285,259.901,585,0.401,85
Republic of Korea,Western Pacific,18129313,35361.032,92610,180.635,9898,24212,47.225,149,0.291,15
Italy,Europe,17440232,29241.779,127800,214.28,18822,166756,279.597,492,0.825,59
Turkey,Europe,15073722,17872.764,6938,8.226,975,98969,117.347,26,0.031,4
Spain,Europe,12360256,26113.614,48779,103.056,0,106493,224.989,425,0.898,0
Viet Nam,Western Pacific,10720426,11013.543,7693,7.903,1047,43079,44.257,1,0.001,0
Argentina,Americas,9230573,20423.531,51778,114.564,0,128889,285.179,64,0.142,0
Japan,Western Pacific,8872937,7015.485,166947,131.998,22655,30653,24.236,235,0.186,35
Netherlands,Europe,8087242,46458.15,7404,42.533,1381,22324,128.243,11,0.063,2
Australia,Western Pacific,7307799,28658.166,241582,947.385,35986,8556,33.553,292,1.145,35
Iran (Islamic Republic of),Eastern Mediterranean,7232268,8610.566,1386,1.65,234,141318,168.25,25,0.03,3
Colombia,Americas,6103455,11995.103,4344,8.537,0,139854,274.855,21,0.041,0
Indonesia,South-East Asia,6055645,2213.939,1975,0.722,304,156600,57.253,44,0.016,6
Poland,Europe,6008059,15828.118,1512,3.983,219,116333,306.477,33,0.087,7
Mexico,Americas,5779027,4482.202,11749,9.113,8165,324951,252.031,43,0.033,97
Ukraine,Europe,5011433,11458.958,0,0,0,108538,248.179,0,0,0
Portugal,Europe,4749137,46126.447,176423,1713.525,32823,23190,225.235,228,2.214,40
Malaysia,Western Pacific,4508319,13929.182,11107,34.317,1809,35678,110.233,25,0.077,2
Thailand,South-East Asia,4457580,6386.22,27906,39.98,2560,30081,43.096,200,0.287,34
Austria,Europe,4293027,48230.492,15891,178.529,3542,19937,223.984,17,0.191,2
Belgium,Europe,4152558,36038.877,2975,25.819,0,31754,275.584,24,0.208,0
Israel,Europe,4144915,47887.417,14868,171.774,2172,10860,125.469,10,0.116,1
South Africa,Africa,3960424,6677.645,19379,32.675,2647,101219,170.665,176,0.297,29
Czechia,Europe,3920550,36661.421,1435,13.419,251,40289,376.746,6,0.056,0
Canada,Americas,3873060,10261.894,15532,41.153,6516,41105,108.91,233,0.617,110
Chile,Americas,3710521,19410.347,53333,278.994,7580,57897,302.869,62,0.324,5
Philippines,Western Pacific,3690707,3368.015,1250,1.141,126,60455,55.169,0,0,0
Switzerland,Europe,3657550,42261.253,4140,47.836,0,13259,153.201,1,0.012,0
Peru,Americas,3581524,10862.368,4884,14.813,1177,213205,646.627,83,0.252,19
Greece,Europe,3457256,32254.84,25047,233.679,4027,29857,278.554,109,1.017,12
Denmark,Europe,3137542,53884.075,3462,59.456,646,6368,109.364,29,0.498,5
China,Western Pacific,3107824,211.232,564134,38.343,88481,16982,1.154,831,0.056,123
Romania,Europe,2909495,15052.612,2285,11.822,300,65685,339.829,21,0.109,1
Sweden,Europe,2507948,24283.964,0,0,0,18977,183.751,0,0,0
Iraq,Eastern Mediterranean,2328264,5788.463,707,1.758,110,25219,62.699,1,0.002,0
Serbia,Europe,2017703,29129.333,1701,24.557,249,16083,232.188,9,0.13,2
Bangladesh,South-East Asia,1953541,1186.197,213,0.129,34,29131,17.688,1,0.001,0
Hungary,Europe,1919840,19651.312,2063,21.117,0,46547,476.451,40,0.409,0
Slovakia,Europe,1789900,32794.827,863,15.812,148,20101,368.294,10,0.183,1
Jordan,Eastern Mediterranean,1696937,16631.527,269,2.636,0,14066,137.86,0,0,0
Georgia,Europe,1657729,41555.685,575,14.414,0,16826,421.791,1,0.025,0
Ireland,Europe,1565970,31543.739,4338,87.381,615,7381,148.677,29,0.584,5
Pakistan,Eastern Mediterranean,1530453,692.85,463,0.21,66,30379,13.753,0,0,0
Norway,Europe,1433639,26709.225,1360,25.337,100,3172,59.096,31,0.578,0
Kazakhstan,Europe,1394918,7428.981,84,0.447,9,19016,101.274,1,0.005,0
Singapore,Western Pacific,1306871,22338.369,24591,420.334,3577,1389,23.742,9,0.154,0
New Zealand,Western Pacific,1173383,24332.773,48534,1006.463,7965,1151,23.869,94,1.949,11
Morocco,Eastern Mediterranean,1168664,3166.205,1578,4.275,361,16077,43.557,1,0.003,1
Bulgaria,Europe,1165356,16764.137,1234,17.752,189,37150,534.418,35,0.503,2
Croatia,Europe,1136706,28010.345,1578,38.885,206,15991,394.045,18,0.444,4
Cuba,Americas,1105360,9758.961,269,2.375,41,8529,75.301,0,0,0
Finland,Europe,1105211,20002.762,9045,163.702,767,4627,83.742,3,0.054,0
Lebanon,Eastern Mediterranean,1099368,16106.906,577,8.454,103,10432,152.84,9,0.132,1
Lithuania,Europe,1062819,38038.109,742,26.556,141,9147,327.37,6,0.215,1
Tunisia,Eastern Mediterranean,1042872,8823.975,510,4.315,0,28641,242.338,9,0.076,0
Slovenia,Europe,1025367,48923.426,1752,83.593,327,7782,371.303,2,0.095,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979163,3360.571,58,0.199,11,11952,41.02,0,0,0
Uruguay,Americas,925777,26650.805,9389,270.286,0,7238,208.364,11,0.317,0
Mongolia,Western Pacific,925073,28218.156,1038,31.663,0,2115,64.515,1,0.031,0
Bolivia (Plurinational State of),Americas,908862,7786.005,1095,9.381,0,21948,188.023,3,0.026,0
United Arab Emirates,Eastern Mediterranean,908647,9187.159,2806,28.371,442,2305,23.305,3,0.03,0
Costa Rica,Americas,904934,17764.292,13896,272.785,13896,8525,167.35,30,0.589,30
Ecuador,Americas,877381,4972.954,2631,14.912,99,35638,201.995,21,0.119,1
Guatemala,Americas,861002,4805.887,3805,21.239,833,18152,101.32,161,0.899,21
Panama,Americas,858268,19891.41,22347,517.919,3819,8255,191.32,23,0.533,1
Latvia,Europe,828822,43446.709,1123,58.867,208,5826,305.398,8,0.419,2
Azerbaijan,Europe,792778,7818.96,46,0.454,11,9713,95.797,3,0.03,0
Saudi Arabia,Eastern Mediterranean,768648,2207.879,3859,11.085,569,9149,26.28,14,0.04,1
Puerto Rico,Americas,672473,23506.031,25766,900.64,2239,4375,152.926,45,1.573,12
Sri Lanka,South-East Asia,663845,3100.16,45,0.21,7,16518,77.139,5,0.023,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657705,12892.602,132,2.588,0,5660,110.95,0,0,0
Paraguay,Americas,650661,9122.433,378,5.3,0,18894,264.899,9,0.126,0
Kuwait,Eastern Mediterranean,633225,14827.642,167,3.91,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613355,1127.288,95,0.175,7,19434,35.718,0,0,0
Bahrain,Eastern Mediterranean,586267,34454.373,3572,209.923,602,1488,87.448,3,0.176,0
Dominican Republic,Americas,584029,5383.793,2160,19.912,0,4377,40.349,0,0,0
Estonia,Europe,576870,43407.104,559,42.062,0,2574,193.683,6,0.451,0
Venezuela (Bolivarian Republic of),Americas,523654,1841.522,243,0.855,29,5721,20.119,4,0.014,0
Republic of Moldova,Europe,518967,12864.942,222,5.503,0,11544,286.17,7,0.174,0
Egypt,Eastern Mediterranean,513944,502.22,28,0.027,0,24718,24.154,14,0.014,0
Libya,Eastern Mediterranean,502016,7305.991,29,0.422,0,6430,93.578,0,0,0
Cyprus,Europe,489963,55175.703,1774,199.774,0,1059,119.256,2,0.225,0
